account_id,customer_id,created_at,status,account_branch,account_check_digit,account_number
509281836645315264,3287830764476260864,2019-11-27T22:02:48.840Z,active,7763,9,38218
1464307209104691456,2739905374464312320,2019-04-02T12:42:01.740Z,active,7183,2,1684
1433942275821296384,1308631020777024000,2019-01-13T01:13:23.290Z,active,9161,3,47219
281026973294784032,1534459925020890112,2019-04-10T19:56:25.730Z,active,7799,5,81330
2421471451521885696,2483467254182955520,2019-05-26T16:44:47.680Z,active,2777,3,74464
822825806885579520,2870330490077069824,2019-11-25T03:14:47.190Z,active,5953,3,28514
276738588952286176,3354089258293300736,2019-04-28T01:47:31.760Z,active,9216,6,73956
3048303297335403008,2760210528896511488,2019-11-06T05:40:08.960Z,active,4500,4,66271
566971933804816640,2735689675437195264,2019-07-28T09:37:49.460Z,active,9343,3,98623
2272107761294644736,1381376141845408256,2019-01-23T07:26:51.910Z,active,411,3,36527
68992326641860528,1762719100870633728,2019-06-17T02:37:08.900Z,active,5029,4,11102
3307177159800443392,1753914424190093824,2019-08-06T08:00:14.600Z,active,533,6,32546
2945126423034219520,2312162617418906624,2019-10-20T12:10:24.140Z,active,7262,0,51293
929496070094623360,3202076221140995584,2019-02-26T19:56:27.640Z,active,2522,9,82614
2582312454490957824,960422580921375360,2019-08-11T16:33:19.080Z,active,4957,6,62670
648355199840677888,2027295864097128704,2019-06-04T17:06:29.550Z,active,6815,7,21328
1173306636433992960,793119362457005824,2019-04-28T23:30:24.930Z,active,8458,7,10165
936883919113072640,2070971132911778560,2019-03-29T03:35:32.650Z,active,7672,9,34613
2550560199879143936,686244608420670848,2019-02-28T17:30:27.210Z,active,7269,4,1233
3146883132951282688,3137965821003238400,2019-04-25T14:32:56.520Z,active,2817,1,26588
2880519304445116928,182526381936041376,2019-05-31T02:04:21.090Z,active,1239,9,31244
281777638972504992,809736954350117376,2019-08-01T06:17:29.140Z,active,8494,7,79585
3203996261236057600,1695225652936950272,2019-11-24T19:50:34.320Z,active,2723,1,25414
817284815175444992,2038204820043495936,2019-03-16T17:03:55.320Z,active,164,8,94644
97027643794779296,2076308341783435008,2019-04-30T10:25:36.520Z,active,7975,8,67718
2225604430892188160,1484763395207693312,2019-04-05T11:31:37.450Z,active,7724,7,91047
962672258846993664,2114070458883958528,2019-12-08T18:37:35.020Z,active,2242,9,76324
3279377757811562496,367388289209282048,2019-05-29T08:05:35.330Z,active,4023,3,83679
1354644409768621056,1431238525084009216,2019-05-15T03:13:32.020Z,active,6708,4,57655
3255048218793952256,260533175948060800,2019-06-12T06:17:00.320Z,active,5798,1,7097
1494857863703537920,518398560890017728,2019-04-29T17:34:01.770Z,active,831,8,40573
2950790175869649408,2944623066260267520,2019-03-09T16:42:13.020Z,active,1404,4,62987
3133285803131044352,1448642626782182656,2019-05-18T13:43:54.700Z,active,269,0,62081
2013515877326876928,2470648379066379776,2019-03-25T17:20:16.370Z,active,7590,5,96918
1990137957645979392,2119027986809368832,2019-03-10T22:10:29.350Z,active,3038,2,2771
558874953703302400,1059925729751695872,2019-04-16T03:23:19.550Z,active,4920,2,7744
743581014868784000,3213605847932144128,2019-01-04T05:13:48.050Z,active,9402,8,19920
1092591810760307072,1953116620748269056,2019-11-02T03:28:18.200Z,active,7580,3,81451
1107816695278406400,579558206003009152,2019-03-13T19:41:34.270Z,active,4079,9,35241
1913152319760410880,987983167914471040,2019-12-06T10:44:27.580Z,active,3937,1,25669
3227781091075923968,1836363603084271360,2019-09-11T08:52:04.200Z,active,4886,0,47840
3005027617484353024,1960659770769075968,2019-04-15T17:31:02.580Z,active,2026,6,83171
2410490373981861376,3013312387466315264,2019-05-18T23:53:35.860Z,active,8463,0,22300
831695498091549056,3064545125940456960,2019-04-21T07:59:12.380Z,active,8396,2,70099
2956522121084559872,229811419641108448,2019-09-28T08:03:06.630Z,active,6639,9,2847
